Year,Month,Industry_Section,Occupation_Group,Number_of_Vacancies
2016,June,Manufacturing,Clerical_Support_Workers,216
2016,June,Manufacturing,Service_Sales_Workers,144
2016,June,Manufacturing,Craft_Related_Workers,660
2016,June,Manufacturing,Plant_Machine_Operators,335
2016,June,Manufacturing,Skilled_Agricultural_Fishery,0
2016,June,Manufacturing,Elementary_Occupations,670
2016,June,Manufacturing,Total,2284
2016,June,"Mining, Quarrying, Electricity, Gas, Waste Management",Managers,11
2016,June,"Mining, Quarrying, Electricity, Gas, Waste Management",Professionals,14
2016,June,"Mining, Quarrying, Electricity, Gas, Waste Management",Associate_Professionals,31
2016,June,"Mining, Quarrying, Electricity, Gas, Waste Management",Clerical_Support_Workers,83
2016,June,"Mining, Quarrying, Electricity, Gas, Waste Management",Service_Sales_Workers,0
2016,June,"Mining, Quarrying, Electricity, Gas, Waste Management",Craft_Related_Workers,34
2016,June,"Mining, Quarrying, Electricity, Gas, Waste Management",Plant_Machine_Operators,32
2016,June,"Mining, Quarrying, Electricity, Gas, Waste Management",Skilled_Agricultural_Fishery,0
2016,June,"Mining, Quarrying, Electricity, Gas, Waste Management",Elementary_Occupations,52
2016,June,"Mining, Quarrying, Electricity, Gas, Waste Management",Total,257
2016,June,Construction Sites (Manual Workers),Managers,NA
2016,June,Construction Sites (Manual Workers),Professionals,NA
2016,June,Construction Sites (Manual Workers),Associate_Professionals,NA
2016,June,Construction Sites (Manual Workers),Clerical_Support_Workers,NA
2016,June,Construction Sites (Manual Workers),Service_Sales_Workers,NA
2016,June,Construction Sites (Manual Workers),Craft_Related_Workers,365
2016,June,Construction Sites (Manual Workers),Plant_Machine_Operators,79
2016,June,Construction Sites (Manual Workers),Skilled_Agricultural_Fishery,NA
2016,June,Construction Sites (Manual Workers),Elementary_Occupations,102
2016,June,Construction Sites (Manual Workers),Total,546
2016,June,"G: Import/export, wholesale and retail trades",Managers,674
2016,June,"G: Import/export, wholesale and retail trades",Professionals,740
2016,June,"G: Import/export, wholesale and retail trades",Associate_Professionals,2478
2016,June,"G: Import/export, wholesale and retail trades",Clerical_Support_Workers,1766
2016,June,"G: Import/export, wholesale and retail trades",Service_Sales_Workers,6380
2016,June,"G: Import/export, wholesale and retail trades",Craft_Related_Workers,471
2016,June,"G: Import/export, wholesale and retail trades",Plant_Machine_Operators,247
2016,June,"G: Import/export, wholesale and retail trades",Skilled_Agricultural_Fishery,0
2016,June,"G: Import/export, wholesale and retail trades",Elementary_Occupations,1279
2016,June,"G: Import/export, wholesale and retail trades",Total,14035
2016,June,G45-46: Import/export trade and wholesale,Managers,510
2016,June,G45-46: Import/export trade and wholesale,Professionals,684
2016,June,G45-46: Import/export trade and wholesale,Associate_Professionals,2013
2016,June,G45-46: Import/export trade and wholesale,Clerical_Support_Workers,1413
2016,June,G45-46: Import/export trade and wholesale,Service_Sales_Workers,1215
2016,June,G45-46: Import/export trade and wholesale,Craft_Related_Workers,164
2016,June,G45-46: Import/export trade and wholesale,Plant_Machine_Operators,223
2016,June,G45-46: Import/export trade and wholesale,Skilled_Agricultural_Fishery,0
2016,June,G45-46: Import/export trade and wholesale,Elementary_Occupations,716
2016,June,G45-46: Import/export trade and wholesale,Total,6938
2016,June,G47: Retail,Managers,164
2016,June,G47: Retail,Professionals,56
2016,June,G47: Retail,Associate_Professionals,465
2016,June,G47: Retail,Clerical_Support_Workers,353
2016,June,G47: Retail,Service_Sales_Workers,5165
2016,June,G47: Retail,Craft_Related_Workers,307
2016,June,G47: Retail,Plant_Machine_Operators,24
2016,June,G47: Retail,Skilled_Agricultural_Fishery,0
2016,June,G47: Retail,Elementary_Occupations,563
2016,June,G47: Retail,Total,7097
2016,June,"H: Transportation, storage, postal and courier services",Managers,171
2016,June,"H: Transportation, storage, postal and courier services",Professionals,198
2016,June,"H: Transportation, storage, postal and courier services",Associate_Professionals,336
2016,June,"H: Transportation, storage, postal and courier services",Clerical_Support_Workers,738
2016,June,"H: Transportation, storage, postal and courier services",Service_Sales_Workers,279
2016,June,"H: Transportation, storage, postal and courier services",Craft_Related_Workers,121
2016,June,"H: Transportation, storage, postal and courier services",Plant_Machine_Operators,671
2016,June,"H: Transportation, storage, postal and courier services",Skilled_Agricultural_Fishery,0
2016,June,"H: Transportation, storage, postal and courier services",Elementary_Occupations,771
2016,June,"H: Transportation, storage, postal and courier services",Total,3285
2016,June,I: Accommodation and food services,Managers,64
2016,June,I: Accommodation and food services,Professionals,8
2016,June,I: Accommodation and food services,Associate_Professionals,300
2016,June,I: Accommodation and food services,Clerical_Support_Workers,471
2016,June,I: Accommodation and food services,Service_Sales_Workers,10205
2016,June,I: Accommodation and food services,Craft_Related_Workers,102
2016,June,I: Accommodation and food services,Plant_Machine_Operators,183
2016,June,I: Accommodation and food services,Skilled_Agricultural_Fishery,0
2016,June,I: Accommodation and food services,Elementary_Occupations,1704
2016,June,I: Accommodation and food services,Total,13037
2016,June,J: Information and communications,Managers,213
2016,June,J: Information and communications,Professionals,986
2016,June,J: Information and communications,Associate_Professionals,880
2016,June,J: Information and communications,Clerical_Support_Workers,89
2016,June,J: Information and communications,Service_Sales_Workers,227
2016,June,J: Information and communications,Craft_Related_Workers,65
2016,June,J: Information and communications,Plant_Machine_Operators,7
2016,June,J: Information and communications,Skilled_Agricultural_Fishery,0
2016,June,J: Information and communications,Elementary_Occupations,6
2016,June,J: Information and communications,Total,2473
2016,June,K: Financing and insurance,Managers,1025
